Name,Category,Address,Contact Name,Contact Email,Contact Phone Number,Creative Schools Certification,Network
Legacy Charter Elementary School,Elementary School,"3318 W Ogden Ave, Chicago, IL, 60623","",,"",Incomplete Data,Charter
Namaste Charter Elementary School,Elementary School,"3737 S Paulina St, Chicago, IL, 60609",Destiney Higgins,dhiggins@namastecharterschool.org,(469) 307-2179,Incomplete Data,Charter
Noble Street Charter - Noble Street College Prep,High School,"1010 N Noble St, Chicago, IL, 60642",Rosa Spacucello,rspacucello@noblecollegeprep.org,(773) 862-1449,Strong,Charter
Noble Street Charter - Gary Comer College Prep,Combination,"7131 S South Chicago Ave, Chicago, IL, 60619","",,"",Emerging,Charter
Noble Street Charter - Golder College Prep,High School,"1454 W Superior St, Chicago, IL, 60642",Kristofer Bryant,kbryant@goldercollegeprep.org,(708) 704-6785,Incomplete Data,Charter
Noble Street Charter - Pritzker College Prep,High School,"4131 W Cortland St, Chicago, IL, 60639",Pam Johnson,pjohnson@pritzkercollegeprep.org,(773) 394-2848,Emerging,Charter
Noble Street Charter - Rauner College Prep,High School,"1337 W Ohio St, Chicago, IL, 60642",Robert Vega,rvega@raunercollegeprep.org,(312) 226-5345,Incomplete Data,Charter
Noble Street Charter - Rowe-Clark Math & Sci Acad,High School,"3645 W Chicago Ave, Chicago, IL, 60651","",,"",Incomplete Data,Charter
Noble Street Charter - UIC College Prep,High School,"1231 S Damen Ave, Chicago, IL, 60608",Justin Boyd,jboyd@uiccollegeprep.org,(312) 768-4858,Excelling,Charter
North Lawndale College Prep - Christiana,High School,"1615 S Christiana Ave, Chicago, IL, 60623",Katie Hogan,khogan@nlcphs.org,"",Emerging,Charter
North Lawndale College Prep - Collins,High School,"1313 S Sacramento Dr, Chicago, IL, 60623",Katie Hogan,khogan@nlcphs.org,"",Emerging,Charter
Asian Human Services - Passages Charter School,Elementary School,"1643 W Bryn Mawr Ave, Chicago, IL, 60660",Kara Gibson,kgibson@ahschicago.org,(317) 408-1845,Excelling,Charter
Perspectives Charter Leadership Academy HS,High School,"8522 S Lafayette Ave, Chicago, IL, 60620",Kinsey Sturgeon,ksturgeon@pcsedu.org,(872) 395-3061,Emerging,Charter
Perspectives Charter - High School of Technology,High School,"8522 S Lafayette Ave, Chicago, IL, 60620",Kinsey Sturgeon,ksturgeon@pcsedu.org,(872) 395-3061,Emerging,Charter
Perspectives Charter - Rodney D Joslin,High School,"1930 S Archer Ave, Chicago, IL, 60616","",,"",Incomplete Data,Charter
Perspectives Charter - IIT Math & Science Academy,High School,"3663 S Wabash Ave, Chicago, IL, 60653","",,"",Incomplete Data,Charter
Plato Learning Academy Elementary School,Elementary School,"5545 W Harrison St, Chicago, IL, 60644","",,"",Excelling,Contract
Polaris Charter Academy Elementary School,Elementary School,"620 N Sawyer Ave, Chicago, IL, 60624",Cristie Bosch,cbosch@pcachicago.org,(312) 969-0333,Excelling,Charter
Providence Englewood Charter,Elementary School,"6515 S Ashland Ave, Chicago, IL, 60636",Monica Perdue,Perduem@pecs.k12.il.us,(773) 434-0202,Excelling,Charter
University of Chicago Charter - Donoghue,Elementary School,"707 E 37th St, Chicago, IL, 60653",Celia Zukosky,czukosky@uchicagocharter.org,(773) 285-5301,Strong,Charter
University of Chicago Charter - NKO,Elementary School,"1119 E 46th St, Chicago, IL, 60653",Sydney Chatman,schatman@uchicagocharter.org,(773) 536-2399,Strong,Charter
University of Chicago Charter - Woodlawn,High School,"6300 S University Ave, Chicago, IL, 60637",Reginald Bates,rbates@uchicagocharter.org,(773) 752-8101,Developing,Charter
Acero Charter Schools - SPC Daniel Zizumbo,Elementary School,"4248 W 47th St, Chicago, IL, 60632",Emilio Balderas,ebalderas02@aceroschools.org,(708) 805-9251,Developing,Charter
Acero Charter Schools - PFC Omar E Torres,Elementary School,"4248 W 47th St, Chicago, IL, 60632",Elizabeth Casey,ecasey@aceroschools.org,(773) 579-3475,Strong,Charter
Acero Charter Schools - Bartolomé de las Casas,Elementary School,"1641 W 16th St, Chicago, IL, 60608","",,"",Excelling,Charter
Acero Charter Schools - Carlos Fuentes,Elementary School,"2845 W Barry Ave, Chicago, IL, 60618",Caitlin Hansen,chansen@aceroschools.org,(310) 779-4637,Excelling,Charter
Acero Charter Schools - Octavio Paz Campus,Elementary School,"2651 W 23rd St, Chicago, IL, 60608",Scott Campana,scampana@aceroschools.org,"",Developing,Charter
Acero Charter Schools - Rufino Tamayo,Elementary School,"5135 S California Ave, Chicago, IL, 60632","",,"",Excelling,Charter
Acero Charter Schools - Major Hector P Garcia MD,High School,"4248 W 47th St, Chicago, IL, 60632",Kristal Pacheco,kpacheco@aceroschools.org,(773) 579-3480,Excelling,Charter
Urban Prep Acad for Young Men Charter - Englewood,High School,"6201 S Stewart Ave, Chicago, IL, 60621","",,"",Emerging,Charter
Acero Charter Schools - Officer Donald J Marquez,Elementary School,"2916 W 47th St, Chicago, IL, 60632","",,"",Strong,Charter
Chicago Technology Academy High School,High School,"1301 W 14th St, Chicago, IL, 60608",Nicole Dudik,ndudik@chicagotechacademy.org,"",Strong,Contract
Chicago Intl Charter - Lloyd Bond,Elementary School,"13300 S Langley Ave, Chicago, IL, 60827","",,"",Excelling,Charter
EPIC Academy High School,High School,"8255 S Houston Ave, Chicago, IL, 60617",Hondo Lawrence,hlawrence@epicacademy.org,(773) 535-7930,Strong,Charter
Rowe Elementary School,Elementary School,"1424 N Cleaver St, Chicago, IL, 60642",Ian Molitor,imolitor@nush.org,(773) 278-7471,Strong,Charter
Noble Street Charter - Chicago Bulls College Prep,High School,"2040 W Adams St, Chicago, IL, 60612",Adam Fuechsl,afuechsl@bullscollegeprep.org,(805) 944-0232,Excelling,Charter
Noble Street Charter - Muchin College Prep,High School,"1 N State St, Chicago, IL, 60602",Mo Ran Park,mpark@muchincollegeprep.org,"",Excelling,Charter
Acero Charter Schools - Sandra Cisneros,Elementary School,"2744 W Pershing Rd, Chicago, IL, 60632",Jill Keller,jkeller@aceroschools.org,"",Incomplete Data,Charter
Instituto Health Sciences Career Academy HS,High School,"2520 S Western Ave, Chicago, IL, 60608",Elias Alonzo,e.alonzo@idpl.org,(773) 890-8020,Developing,Charter
Urban Prep Academy for Young Men - Bronzeville,High School,"521 E 35th St, Chicago, IL, 60616",LaToya Wilson,Lwilson@urbanprep.org,(773) 624-3444,Emerging,Charter
Noble Street Charter - Johnson HS,High School,"6350 S Stewart Ave, Chicago, IL, 60621",Amaris Miranda,amiranda@nobleenglewood.org,(312) 348-1888,Strong,Charter
LEARN  Charter School-South Chicago Campus,Elementary School,"8914 S Buffalo Ave, Chicago, IL, 60617",Osei Agyeman Badu,oagyeman-badu@learncharter.org,(773) 722-8577,Strong,Charter
LEARN Charter School - Hunter Perkins,Elementary School,"1700 W 83rd St, Chicago, IL, 60620",Tanisha Shirley,tshirley@learncharter.org,(773) 488-1634,Strong,Charter
Acero Charter Schools - Jovita Idar,Elementary School,"5050 S Homan Ave, Chicago, IL, 60632",Julissa Contreras,jcontreras@aceroschools.org,"",Emerging,Charter
Acero Charter Schools - Esmeralda Santiago,Elementary School,"2510 W Cortez St, Chicago, IL, 60622",Keely Umstot,kumstot@aceroschools.org,"",Strong,Charter
Catalyst-Maria Charter,Combination,"6727 S California Ave, Chicago, IL, 60629",Lynden Thrash,lthrash@catalystschools.org,(773) 993-1770,Emerging,Charter
The Montessori School of Englewood Charter,Elementary School,"6936 S Hermitage Ave, Chicago, IL, 60636",Maggie Mikuzis,mmikuzis@tmsoe.org,(773) 535-9255,Developing,Charter
Noble Street Charter - Hansberry College Prep,High School,"8748 S Aberdeen St, Chicago, IL, 60620",Kashawndra Wilson,kwilson@nobleagcollegeprep.org,(773) 729-3400,Incomplete Data,Charter
Noble Street Charter School - DRW College Prep,High School,"931 S Homan Ave, Chicago, IL, 60624",Donier Tyler,etyler@drwtcollegeprep.org,(773) 893-4500,Developing,Charter
Legal Prep Charter Academy,High School,"4319 W Washington Blvd, Chicago, IL, 60624",Joseph Williams,jwilliams@legalprep.org,(773) 867-0854,Strong,Charter
Acero Charter Schools - Roberto Clemente,Elementary School,"2050 N Natchez Ave, Chicago, IL, 60707",Kaitlin Donelon,kdonelon@aceroschools.org,(312) 455-5425,Strong,Charter
Acero Charter Schools - Sor Juana Inés de la Cruz,Combination,"7416 N Ridge Ave, Chicago, IL, 60645",Sarah Glover Ibarra,sglover-ibarra@aceroschools.org,(312) 455-5440,Excelling,Charter
YCCS-Academy of Scholastic Achievement HS,High School,"4651 W Madison St, Chicago, IL, 60644",Vanessa Ford,vford@asaschool.org,(773) 921-1315,Emerging,Options
YCCS-Ada S McKinley-Lakeside HS,High School,"2920 S Wabash Ave, Chicago, IL, 60616",Veronica Blake,vblake@lakeside-yccs.org,(312) 949-5010,Emerging,Options
"YCCS-ASPIRA, Antonia Pantoja Alternative HS",High School,"3121 N Pulaski Rd, Chicago, IL, 60641",Robert Lisiecki,rlisiecki@aspirail.org,(773) 486-6303,Emerging,Options
YCCS-Association House HS,High School,"1116 N Kedzie, 4th Floor Ave, Chicago, IL, 60651",David Stripinis,dstripinis@ahhs.education,(773) 305-9300,Emerging,Options
YCCS-CCA Academy HS,High School,"1231 S Pulaski Rd, Chicago, IL, 60623",Nancy Zook,nzook@ccaacademy.org,(773) 762-2272,Strong,Options
YCCS-Progressive Leadership Academy HS,High School,"6620 S Dr Martin Luther King Jr Dr, Chicago, IL, 60637",Brittany Woods,bwoods@pla-yccs.org,(312) 225-4668,Strong,Options
YCCS-Community Youth Development Institute HS2,High School,"7836 S Union Ave, Chicago, IL, 60620","",,"",Emerging,Options
YCCS-Dr Pedro Albizu Campos Puerto Rican HS,High School,"2739 W Division St, Chicago, IL, 60622",Melissa Lewis,melissal@pachs-chicago.org,(773) 342-8022,Emerging,Options
YCCS-Innovations of Arts Integration HS,High School,"17 N State St, Chicago, IL, 60602",Jennifer Hall,jhall@innochi.org,(312) 999-9360,Strong,Options
YCCS-Latino Youth Alternative HS,High School,"2001 S California Ave, Chicago, IL, 60608",Kelly McGowan,kmcgowan@pilsenmh.org,(773) 793-6752,Emerging,Options
YCCS-Olive Harvey Middle College HS,High School,"10001 S Woodlawn Ave, Chicago, IL, 60628",Oluwale Odukoya,oodukoya@ccc.edu,(773) 291-6560,Incomplete Data,Options
Little Black Pearl Art and Design Academy,High School,"1060 E 47th St, Chicago, IL, 60653",Branden Little,Blittle4@cps.edu,(678) 488-6282,Incomplete Data,Options
YCCS-Sullivan House Alternative HS,High School,"8164 S South Chicago Ave, Chicago, IL, 60617",Thomas Gattuso,TJGattuso@cps.edu,(773) 978-8680,Developing,Options
YCCS-Truman Middle College HS,High School,"1145 W Wilson Ave., Chicago, IL, 60640","",,"",Incomplete Data,Options
YCCS-West Town Academy Alternative HS,High School,"500 N Sacramento Blvd, Chicago, IL, 60612",Ricky Rodriguez,rrodriguez@gwtp.edu,(312) 563-9044,Emerging,Options
YCCS-West HS,High School,"4909 W Division St, Chicago, IL, 60651",Lawana Long,llong@whla-yccs.org,(312) 286-2765,Developing,Options
YCCS-Youth Connection Leadership Academy HS,High School,"3424 S State St, Chicago, IL, 60616",Eboni Bingham,ebingham@ycla-yccs.org,(312) 225-4668,Emerging,Options
KIPP Academy Chicago Campus,Elementary School,"4818 W Ohio St, Chicago, IL, 60644",Katie Schmelzer,kschmelzer@kippchicago.org,(219) 730-1924,Excelling,Charter
Chicago Excel Academy,High School,"1257 W 111th St, Chicago, IL, 60643","",,"",Strong,Options
Acero Charter Schools - Victoria Soto,High School,"5025 S St. Louis Ave, Chicago, IL, 60632",Katelyn Carter,kcarter@aceroschools.org,(773) 507-3746,Strong,Charter
YCCS-Chatham Academy HS,High School,"9035 S Langley Ave, Chicago, IL, 60619",Brandy Preston,bpreston@chathamacademyhighschool.org,(773) 651-1500,Strong,Options
Learn Charter 7 ES,Elementary School,"3021 W Carroll Ave, Chicago, IL, 60612","",,"",Incomplete Data,Charter
Acero Charter Schools - Brighton Park,Elementary School,"4420 S Fairfield Ave, Chicago, IL, 60632",Emily Chaffee,echaffee@aceroschools.org,(312) 455-5434,Excelling,Charter
Noble Street Charter - Butler College Prep,High School,"821 E 103rd St, Chicago, IL, 60628",Charisma Sweat Green,csweat@butlercollegeprep.org,(773) 535-5490,Developing,Charter
Noble Street Charter - Baker College Prep,High School,"2710 E 89th St, Chicago, IL, 60617",Sydney Ruiz,sruiz@bakercollegeprep.org,(517) 743-1372,Strong,Charter
Christopher House Charter School ES,Elementary School,"5235 W Belden Ave, Chicago, IL, 60639",Ashley Patterson,apatterson40@cps.edu,(773) 922-7500,Emerging,Charter
Chicago Charter Collegiate School,Combination,"11816 S Indiana, Chicago, IL, 60628",Tiffany Daniels,tiffany.daniels@chicagocollegiate.org,(773) 367-8824,Developing,Charter
Intrinsic Charter School,High School,"4540 W Belmont Ave, Chicago, IL, 60641",Max Peters,mpeters@intrinsicschools.org,(203) 313-4185,Developing,Charter
KIPP Chicago Charter School - KIPP Bloom,Elementary School,"5515 S Lowe Ave, Chicago, IL, 60621","",,"",Developing,Charter
Instituto - Justice and Leadership,High School,"2570 S Blue Island Ave., Chicago, IL, 60608",Arturo Galan,a.galan@idpl.org,(773) 890-8060,Developing,Options
LEARN Charter - Middle School Campus (LEARN 8),Elementary School,"3021 W Carroll Ave, Chicago, IL, 60612","",,"",Incomplete Data,Charter
Horizon Science Academy Southwest Chicago Charter,Combination,"5401 S Western Ave, Chicago, IL, 60609",David Baar,baar@hsaswchicago.org,(773) 498-3355,Strong,Charter
Great Lakes Academy Charter School,Elementary School,"8401 S Saginaw Ave, Chicago, IL, 60617",Kathryn Paull,kpaull@glachicago.org,"",Strong,Charter
Noble Street Charter - ITW David Speer Academy Campus,High School,"5321 W Grand Ave, Chicago, IL, 60639",Aaron Lesser,alesser@speeracademy.org,(708) 704-5491,Strong,Charter
Noble Street Charter - The Noble Academy Campus,High School,"1443 N Ogden Ave, Chicago, IL, 60610",Aespyne Brooks,aebrooks@thenobleacademy.org,(574) 302-7855,Emerging,Charter
ASPIRA Business and Finance,High School,"2989 N Milwaukee Ave., Chicago, IL, 60618",Ulises Rivero,urivero@aspirail.org,(224) 440-1193,Excelling,Charter
Pathways in Education Brighton Park,High School,"3124 W 47th St, Chicago, IL, 60632","",,"",Incomplete Data,Options
Excel Academy of South Shore,High School,"7530 S South Shore Dr, Chicago, IL, 60649",Anthony Haley Jr,anthony.haley@sesischools.com,(773) 902-7800,Developing,Options
Excel Academy of Southwest,High School,"7050 S Washtenaw Ave, Chicago, IL, 60629",Richard Sprague,richard.sprague@sesischools.com,(773) 424-0721,Strong,Options
Moving Everest Charter School,Elementary School,"416 N Laramie Ave, Chicago, IL, 60644",Kayla Lashley,klashley@movingeverest.org,(312) 683-9695,Emerging,Charter
Noble Mansueto High School,High School,"2911 W 47th, Chicago, IL, 60632","",,"",Incomplete Data,Charter
KIPP One Academy,Elementary School,"730 N Pulaski, Chicago, IL, 60624",Sara Phillips,sphillips@kippchicago.org,"",Developing,Charter
Chicago Vocational Career Academy High School,High School,"2100 E 87th St, Chicago, IL, 60617",Tori Nicholson,tsfranklin@cps.edu,(773) 534-6000,Excelling,Network 17
Paul Laurence Dunbar Career Academy High School,High School,"3000 S King Dr, Chicago, IL, 60616",Everett Newchurch,enewchurch@cps.edu,(773) 534-9000,Developing,Network 17
William Jones College Preparatory High School,High School,"700 S State St, Chicago, IL, 60605",Michael Block,Mlblock2@cps.edu,"",Excelling,Network 15
Charles Allen Prosser Career Academy High School,High School,"2148 N Long Ave, Chicago, IL, 60639",Angela Hayes,achayes@cps.edu,(773) 807-8300,Excelling,Network 15
Walter Payton College Preparatory High School,High School,"1034 N Wells St, Chicago, IL, 60610",Marnice Lewis,mlewis65@cps.edu,(773) 534-0034,Excelling,Network 15
Ellen H Richards Career Academy High School,High School,"5009 S Laflin St, Chicago, IL, 60609",Christina Jenivas,cjennings3@cps.edu,(224) 628-8244,Excelling,Network 16
North-Grand High School,High School,"4338 W Wabansia Ave, Chicago, IL, 60639",Amanda Moen,amoen@cps.edu,"",Excelling,Network 15
Neal F Simeon Career Academy High School,High School,"8147 S Vincennes Ave, Chicago, IL, 60620",Gabrielle Green,ggreen6@cps.edu,(773) 535-3800,Strong,Network 17
George Westinghouse College Prep,High School,"3223 W Franklin Blvd, Chicago, IL, 60624",Chris Plaskota,cplaskota@cps.edu,(773) 534-6400,Excelling,Network 15
John Hancock College Preparatory High School,High School,"5437 W 64th Pl, Chicago, IL, 60638",John Catomer,jacatomer@cps.edu,(773) 535-2410,Excelling,Network 15
Roald Amundsen High School,High School,"5110 N Damen Ave, Chicago, IL, 60625",Lorelei Macbeth,lemacbeth@cps.edu,(773) 931-4700,Strong,Network 14
William J Bogan High School,High School,"3939 W 79th St, Chicago, IL, 60652","",,"",Incomplete Data,Network 16
David G Farragut Career Academy High School,High School,"2345 S Christiana Ave, Chicago, IL, 60623",Tracy Juarez,tjuarez4@cps.edu,(773) 534-1300,Developing,Network 16
Christian Fenger Academy High School,High School,"11220 S Wallace St, Chicago, IL, 60628",Darryl Smith,dsmith160@cps.edu,(773) 535-5430,Strong,Network 17
Edwin G Foreman High School,High School,"3235 N Leclaire Ave, Chicago, IL, 60641",Benjamin Pedersen,bpedersen1@cps.edu,"",Excelling,Network 14
Gage Park High School,High School,"5630 S Rockwell St, Chicago, IL, 60629","",,"",Developing,Network 16
John M Harlan Community Academy High School,High School,"9652 S Michigan Ave, Chicago, IL, 60628",David Voltz,djvoltz@cps.edu,(773) 535-5400,Strong,Network 17
Emil G Hirsch Metropolitan High School,High School,"7740 S Ingleside Ave, Chicago, IL, 60619",Carol Cairns,clcairns@cps.edu,(773) 857-1056,Strong,Network 17
Hyde Park Academy High School,High School,"6220 S Stony Island Ave, Chicago, IL, 60637",Rhonda Gholston,rlgholston@cps.edu,(773) 908-6207,Excelling,Network 17
Thomas Kelly High School,High School,"4136 S California Ave, Chicago, IL, 60632",Haydee Lopez,hlopez@cps.edu,(773) 535-4901,Excelling,Network 16
Kelvyn Park High School,High School,"4343 W Wrightwood Ave, Chicago, IL, 60639",Chad Huggins,CDHuggins@cps.edu,(773) 519-7848,Excelling,Network 14
John F Kennedy High School,High School,"6325 W 56th St, Chicago, IL, 60638",Michelle Hendricks,mmhendricks@cps.edu,"",Excelling,Network 16
Lake View High School,High School,"4015 N Ashland Ave, Chicago, IL, 60613",Anne Gallery,agallery@cps.edu,(773) 281-1303,Strong,Network 14
Albert G Lane Technical High School,High School,"2501 W Addison St, Chicago, IL, 60618",Kelly Novak,knovak1@cps.edu,"",Excelling,Network 14
Manley Career Academy High School,High School,"2935 W Polk St, Chicago, IL, 60612",Nesie Horton,nlhorton@cps.edu,(773) 534-6900,Strong,Network 15
John Marshall Metropolitan High School,High School,"3250 W Adams St, Chicago, IL, 60624",Michael Wolk,mjwolk@cps.edu,(773) 750-8707,Developing,Network 15
Stephen T Mather High School,High School,"5835 N Lincoln Ave, Chicago, IL, 60659",Christian Smith,crsmith2@cps.edu,(708) 567-4655,Excelling,Network 14
Morgan Park High School,High School,"1744 W Pryor Ave, Chicago, IL, 60643","",,"",Excelling,Network 16
Gwendolyn Brooks College Preparatory Academy HS,High School,"250 E 111th St, Chicago, IL, 60628",John Famera,jfamera@cps.edu,(773) 535-9930,Excelling,ISP
Wendell Phillips Academy High School,High School,"244 E Pershing Rd, Chicago, IL, 60653",Sarah Aarestad,slmostad@cps.edu,"",Excelling,Network 17
Theodore Roosevelt High School,High School,"3436 W Wilson Ave., Chicago, IL, 60625",Christine Dowling,cdowling@cps.edu,(773) 800-2442,Excelling,Network 14
Carl Schurz High School,High School,"3601 N Milwaukee Ave., Chicago, IL, 60641",Tim Anderson,twanderson@cps.edu,(773) 534-3450,Excelling,Network 14
Nicholas Senn High School,High School,"5900 N Glenwood Ave, Chicago, IL, 60660",Rob Schroeder,rschroeder1@cps.edu,(773) 633-6200,Excelling,Network 14
Charles P Steinmetz College Preparatory HS,High School,"3030 N Mobile Ave., Chicago, IL, 60634",Jennifer Bates,jcbates@cps.edu,(773) 534-3030,Excelling,Network 14
Roger C Sullivan High School,High School,"6631 N Bosworth Ave, Chicago, IL, 60626",Damien Dimas,dadimas@cps.edu,(773) 534-2000,Excelling,Network 14
William Howard Taft High School,High School,"6530 W Bryn Mawr Ave, Chicago, IL, 60631",Quintin Nadig,qcnadig@cps.edu,(773) 534-1000,Excelling,Network 14
Edward Tilden Career Community Academy HS,High School,"4747 S Union Ave, Chicago, IL, 60609",Michael Velasquez,mvelasquez21@cps.edu,"",Excelling,Network 16
Friedrich W von Steuben Metropolitan Science HS,High School,"5039 N Kimball Ave, Chicago, IL, 60625",Todd Baran,tcbaran@cps.edu,(773) 534-5100,Excelling,Network 14
Lincoln Park High School,High School,"2001 N Orchard St, Chicago, IL, 60614",Jacob Fjare,jfjare@cps.edu,"",Excelling,Network 14
George Washington High School,High School,"3535 E 114th St, Chicago, IL, 60617",Peter Eilrich,pmeilrich@cps.edu,(773) 535-5725,Strong,Network 17
Wells Community Academy High School,High School,"936 N Ashland Ave, Chicago, IL, 60622",Martha Seiler,mjciurla@cps.edu,"",Excelling,Network 15
Gurdon S Hubbard High School,High School,"6200 S Hamlin Ave, Chicago, IL, 60629",Rebecca Marfise,rmmarfise@cps.edu,(773) 535-2200,Excelling,Network 16
Northside Learning Center High School,High School,"3730 W Bryn Mawr Ave, Chicago, IL, 60659",Heather Valdez,havaldez1@cps.edu,(773) 534-5180,Developing,Network 14
Southside Occupational Academy High School,High School,"7342 S Hoyne Ave, Chicago, IL, 60636",Jim McGuire,jrmcguire@cps.edu,(708) 743-9827,Developing,Network 16
Kenwood Academy High School,High School,"5015 S Blackstone Ave, Chicago, IL, 60615",Elizabeth Osborne,emdynak@cps.edu,(773) 535-1394,Excelling,Network 17
Consuella B York Alternative High School,High School,"2700 S California Ave, Chicago, IL, 60608",Nabulungi Pickett,napickett@cps.edu,(773) 535-7021,Strong,Options
Northside College Preparatory High School,High School,"5501 N Kedzie Ave, Chicago, IL, 60625",Joanne Minyo,jminyo@cps.edu,(773) 534-3954,Excelling,Network 14
Simpson Academy High School for Young Women,High School,"1321 S Paulina St, Chicago, IL, 60608",Amme Nowlin,aanowlin@cps.edu,(773) 534-7812,Developing,Options
Dr  Martin Luther King  Jr  College Prep HS,High School,"4445 S Drexel Blvd, Chicago, IL, 60653",Benjamin Washington,bwashington@cps.edu,(773) 439-0510,Excelling,Network 17
Chicago High School for Agricultural Sciences,High School,"3857 W 111th St, Chicago, IL, 60655",Mary Rossi,mtrossi@cps.edu,(773) 535-2851,Developing,ISP
Chicago Military Academy High School,High School,"3519 S Giles Ave., Chicago, IL, 60653",Jessica Twohill,jltwohill@cps.edu,(773) 534-9750,Excelling,Network 17
Whitney M Young Magnet High School,High School,"211 S Laflin St, Chicago, IL, 60607",Florian Palucci,ftpalucci@cps.edu,(773) 534-7500,Excelling,Network 15
Marie Sklodowska Curie Metropolitan High School,High School,"4959 S Archer Ave, Chicago, IL, 60632",Melinda Wilson,mawilson1@cps.edu,(773) 535-2106,Excelling,Network 15
Roberto Clemente Community Academy High School,High School,"1147 N Western Ave, Chicago, IL, 60622",Mike Winn,Mjwinn@cps.edu,(773) 230-4471,Excelling,Network 15
George Washington Carver Military Academy HS,High School,"13100 S Doty Ave, Chicago, IL, 60827",Kahphira Palmer,kpalmer@cps.edu,(773) 636-8004,Excelling,Network 17
